Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
1	TR	B5VN99	S-adenosylmethionine synthase OS=Saccharomyces cerevisiae (strain AWRI1631) OX=545124 GN=AWRI1631_122210 PE=3 SV=1	Saccharomyces cerevisiae (strain AWRI1631)	382	1982	100.0	100.0	0.0
2	TR	N1NYC1	S-adenosylmethionine synthase OS=Saccharomyces cerevisiae (strain CEN.PK113-7D) OX=889517 GN=CENPK1137D_559 PE=3 SV=1	Saccharomyces cerevisiae (strain CEN.PK113-7D)	382	1982	100.0	100.0	0.0
3	TR	H0GKB7	S-adenosylmethionine synthase OS=Saccharomyces cerevisiae x Saccharomyces kudriavzevii (strain VIN7) OX=1095631 GN=VIN7_3311 PE=3 SV=1	Saccharomyces cerevisiae x Saccharomyces kudriavzevii (strain VIN7)	382	1982	100.0	100.0	0.0
4	TR	A0A0L8VKU0	S-adenosylmethionine synthase OS=Saccharomyces boulardii (nom. inval.) OX=252598 GN=KO01_03434 PE=3 SV=1	Saccharomyces boulardii (nom. inval.)	382	1982	100.0	100.0	0.0
5	TR	B3RH72	S-adenosylmethionine synthase OS=Saccharomyces cerevisiae (strain RM11-1a) OX=285006 GN=SCRG_04140 PE=3 SV=1	Saccharomyces cerevisiae (strain RM11-1a)	382	1982	100.0	100.0	0.0
6	TR	A7A171	S-adenosylmethionine synthase OS=Saccharomyces cerevisiae (strain YJM789) OX=307796 GN=SAM1 PE=3 SV=1	Saccharomyces cerevisiae (strain YJM789)	382	1982	100.0	100.0	0.0
7	SP	P10659	S-adenosylmethionine synthase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SAM1 PE=1 SV=2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	382	1982	100.0	100.0	0.0
8	TR	A0A6C1DVS8	S-adenosylmethionine synthase OS=Saccharomyces pastorianus OX=27292 GN=SAM1_1 PE=3 SV=1	Saccharomyces pastorianus	382	1981	99.7	100.0	0.0
9	TR	C7GIW9	S-adenosylmethionine synthase OS=Saccharomyces cerevisiae (strain JAY291) OX=574961 GN=SAM1 PE=3 SV=1	Saccharomyces cerevisiae (strain JAY291)	382	1981	99.7	100.0	0.0
10	TR	A0A8B8UVZ3	S-adenosylmethionine synthase OS=Saccharomyces paradoxus OX=27291 GN=SPAR_L02150 PE=3 SV=1	Saccharomyces paradoxus	382	1973	99.5	100.0	0.0
11	TR	A0AA35NEG5	S-adenosylmethionine synthase OS=Saccharomyces mikatae IFO 1815 OX=226126 GN=SMKI12G2380 PE=3 SV=1	Saccharomyces mikatae IFO 1815	382	1972	99.2	100.0	0.0
12	TR	G2WJ13	S-adenosylmethionine synthase (Fragment) OS=Saccharomyces cerevisiae (strain Kyokai no. 7 / NBRC 101557) OX=721032 GN=K7_SAM1 PE=3 SV=1	Saccharomyces cerevisiae (strain Kyokai no. 7 / NBRC 101557)	378	1950	100.0	100.0	0.0
13	TR	H0GYB8	S-adenosylmethionine synthase OS=Saccharomyces cerevisiae x Saccharomyces kudriavzevii (strain VIN7) OX=1095631 GN=VIN7_8708 PE=3 SV=1	Saccharomyces cerevisiae x Saccharomyces kudriavzevii (strain VIN7)	382	1945	97.9	99.2	0.0
14	TR	J6ELI5	S-adenosylmethionine synthase OS=Saccharomyces kudriavzevii (strain ATCC MYA-4449 / AS 2.2408 / CBS 8840 / NBRC 1802 / NCYC 2889) OX=226230 GN=YLR180W PE=3 SV=1	Saccharomyces kudriavzevii (strain ATCC MYA-4449 / AS 2.2408 / CBS 8840 / NBRC 1802 / NCYC 2889)	382	1945	97.9	99.2	0.0
15	TR	J8LKU5	S-adenosylmethionine synthase OS=Saccharomyces arboricola (strain H-6 / AS 2.3317 / CBS 10644) OX=1160507 GN=SU7_2243 PE=3 SV=1	Saccharomyces arboricola (strain H-6 / AS 2.3317 / CBS 10644)	382	1944	98.2	99.5	0.0
16	TR	A0AA35J3L6	S-adenosylmethionine synthase OS=Saccharomyces uvarum OX=230603 GN=SUVC12G2280 PE=3 SV=1	Saccharomyces uvarum	382	1938	97.4	98.7	0.0
17	TR	A0A6C1EBN4	S-adenosylmethionine synthase OS=Saccharomyces pastorianus OX=27292 GN=SAM1_2 PE=3 SV=1	Saccharomyces pastorianus	382	1937	97.1	98.7	0.0
18	TR	G0VAS2	S-adenosylmethionine synthase OS=Naumovozyma castellii OX=27288 GN=NCAS0B08650 PE=3 SV=1	Naumovozyma castellii	382	1919	96.1	99.0	0.0
19	TR	A0A8H2ZGD6	S-adenosylmethionine synthase OS=Maudiozyma barnettii OX=61262 GN=KABA2_02S16632 PE=3 SV=1	Maudiozyma barnettii	382	1872	93.5	96.9	0.0
20	TR	A0A9P7B8S0	S-adenosylmethionine synthase OS=Maudiozyma exigua OX=34358 GN=SAM2 PE=3 SV=1	Maudiozyma exigua	382	1867	93.5	96.6	0.0
21	TR	A0A0W0ERK5	S-adenosylmethionine synthase OS=Candida glabrata OX=5478 GN=AO440_000168 PE=3 SV=1	Candida glabrata	382	1865	93.7	97.9	0.0
